*Y NA BFIR ? ? ? 
_Age  BFvol  BSvol  EHvol  ECvol  JPvol  RMvol  ROvol  RPvol  RSvol  SMvol  TAvol  WBvol  WPvol  WSvol  YBvol  VOLtot  HGT90  DBH90  DTYtot  DTY9  ClogR  CplpR  CbioR  HlogR  HplpR  HbioR
 10   0.000   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000    0.000   2.000   7.500  9456     0  0.00  0.31  0.69  0.00  0.31  0.69
 15   7.730   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000    7.730   4.000   7.542  6679    56  0.00  0.68  0.32  0.00  0.68  0.32
 20  52.928  13.775  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000   66.703   8.000  12.500  4583  3347  0.00  0.93  0.07  0.00  0.93  0.07
 25  67.472  25.690  0.000  0.000  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.004  0.000  0.000  0.000   93.170  10.000  17.500  3101  3079  0.08  0.92  0.00  0.08  0.91  0.01
 30  73.137  35.799  0.000  0.000  0.006  0.033  0.002  0.002  0.000  0.020  0.004  0.021  0.000  0.000  0.001  109.025  12.000  17.518  2159  2142  0.07  0.92  0.01  0.07  0.92  0.01
 35  70.603  44.057  0.000  0.000  0.009  0.098  0.006  0.006  0.000  0.095  0.011  0.053  0.008  0.001  0.004  114.951  14.000  22.500  1657  1519  0.74  0.26  0.00  0.74  0.25  0.01
 40  65.550  50.602  0.003  0.000  0.012  0.175  0.011  0.012  0.004  0.223  0.012  0.079  0.014  0.003  0.010  116.709  14.295  22.533  1663  1109  0.74  0.26  0.00  0.74  0.25  0.01
 45  57.511  54.387  0.034  0.001  0.018  0.255  0.019  0.015  0.014  0.409  0.013  0.052  0.036  0.006  0.016  112.784  16.002  23.106  2096   821  0.67  0.32  0.01  0.68  0.32  0.01
 50  49.395  56.394  0.108  0.004  0.009  0.321  0.028  0.012  0.040  0.596  0.000  0.050  0.063  0.010  0.023  107.053  18.005  24.769  3378   630  0.80  0.19  0.01  0.81  0.19  0.01
 55  43.693  56.884  0.258  0.015  0.011  0.382  0.038  0.018  0.105  0.755  0.000  0.066  0.082  0.015  0.031  102.353  16.583  14.812  5869   536  0.00  0.99  0.01  0.00  0.96  0.04
 60  40.146  57.733  0.419  0.012  0.013  0.511  0.048  0.000  0.189  0.998  0.000  0.084  0.086  0.020  0.038  100.298  12.156  11.423  7945   538  0.00  0.92  0.08  0.00  0.93  0.07
 65  39.536  57.000  0.602  0.021  0.015  0.666  0.061  0.000  0.283  1.139  0.000  0.124  0.117  0.026  0.045   99.636  13.980  10.183  8776   633  0.00  0.92  0.08  0.00  0.92  0.08
 70  44.099  55.550  0.798  0.034  0.017  0.710  0.039  0.000  0.344  1.080  0.000  0.142  0.099  0.032  0.052  102.995  12.899  18.302  8293   859  0.07  0.92  0.01  0.07  0.92  0.01
 75  50.449  55.421  0.976  0.048  0.000  0.712  0.046  0.000  0.373  0.963  0.000  0.114  0.047  0.038  0.058  109.247  14.897  16.462  7111  1170  0.06  0.93  0.01  0.06  0.93  0.01
 80  56.725  55.749  1.183  0.049  0.000  0.631  0.000  0.000  0.457  1.141  0.000  0.087  0.058  0.044  0.064  116.189  16.731  15.770  5697  1390  0.05  0.94  0.01  0.06  0.93  0.01
 85  59.754  55.684  1.451  0.062  0.000  0.638  0.000  0.000  0.541  1.146  0.000  0.101  0.069  0.050  0.069  119.564  16.389  22.713  4554  1480  0.67  0.32  0.01  0.68  0.32  0.01
 90  59.678  54.808  1.911  0.044  0.000  0.625  0.000  0.000  0.495  1.308  0.000  0.093  0.080  0.055  0.074  119.171  18.287  21.489  3864  1415  0.62  0.38  0.00  0.62  0.37  0.01
 95  57.322  55.054  2.058  0.054  0.000  0.634  0.000  0.000  0.561  1.334  0.000  0.067  0.091  0.061  0.079  117.313  17.979  21.069  3772  1270  0.62  0.38  0.00  0.62  0.37  0.01
100  53.917  54.228  2.482  0.063  0.000  0.620  0.000  0.000  0.479  1.294  0.000  0.036  0.102  0.066  0.083  113.371  18.061  21.099  4330  1091  0.62  0.38  0.00  0.62  0.37  0.01
105  50.665  51.954  2.801  0.032  0.000  0.535  0.000  0.000  0.445  1.348  0.000  0.041  0.113  0.071  0.088  108.091  18.417  21.450  5284   949  0.62  0.38  0.00  0.62  0.37  0.01
110  47.599  50.237  2.962  0.036  0.000  0.511  0.000  0.000  0.488  1.360  0.000  0.044  0.124  0.076  0.092  103.530  18.075  18.647  6207   851  0.37  0.63  0.01  0.37  0.62  0.01
