*Y NA BFIR ? ? ? ? 
_Age  BFvol  BSvol  EHvol  ECvol  JPvol  TLvol  RMvol  ROvol  RPvol  RSvol  SMvol  TAvol  WAvol  WBvol  WPvol  WSvol  YBvol  VOLtot  HGT90  DBH90  DTYtot  DTY9  ClogR  CplpR  CbioR  HlogR  HplpR  HbioR
 10   0.000   0.000   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000    0.000   2.000   7.500   9457     0  0.00  0.31  0.69  0.00  0.31  0.69
 15   0.807   0.000   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000    0.807   4.000   7.500   6745     0  0.00  0.68  0.32  0.00  0.68  0.32
 20  23.955   0.004   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000   23.958   6.000  12.500   4850  1449  0.00  0.94  0.06  0.00  0.94  0.06
 25  38.033   6.986   0.000  0.000  0.005  0.000   0.454  0.000  0.000  0.000  0.001  0.008  0.000  0.038  0.002  0.000  0.000   45.527   6.126  12.500   3559  2216  0.00  0.94  0.06  0.00  0.94  0.06
 30  41.612  14.041   0.000  0.000  0.028  0.000   1.897  0.093  0.034  0.000  0.205  0.032  0.049  0.187  0.107  0.000  0.141   58.425   8.056  17.500   2505  2371  0.09  0.90  0.01  0.09  0.89  0.01
 35  42.823  17.900   0.024  0.002  0.039  0.000   3.619  0.322  0.093  0.000  0.941  0.059  0.134  0.335  0.331  0.001  0.360   66.982  10.106  17.652   2012  1763  0.08  0.92  0.00  0.08  0.91  0.01
 40  42.169  21.829   0.159  0.005  0.053  0.000   5.259  0.670  0.160  0.014  1.984  0.067  0.209  0.435  0.645  0.001  0.647   74.305  12.399  18.367   2188  1295  0.07  0.92  0.01  0.07  0.92  0.01
 45  35.903  21.947   0.375  0.012  0.044  0.001   6.633  0.894  0.233  0.034  2.536  0.083  0.249  0.481  1.080  0.002  0.837   71.343  12.302  23.530   2671   978  0.81  0.18  0.01  0.82  0.18  0.01
 50  31.166  22.553   0.742  0.025  0.039  0.001   7.512  1.205  0.313  0.062  3.240  0.095  0.322  0.442  1.471  0.000  0.969   70.157  12.618  20.231   4717   758  0.51  0.48  0.00  0.51  0.48  0.01
 55  25.369  21.123   1.107  0.057  0.032  0.001   8.152  1.415  0.376  0.080  3.261  0.079  0.310  0.364  2.063  0.000  1.020   64.809  10.791  16.751   8194   608  0.08  0.92  0.00  0.08  0.91  0.01
 60  21.050  19.580   1.677  0.083  0.027  0.001   9.009  1.567  0.436  0.097  3.345  0.074  0.281  0.275  2.468  0.000  0.950   60.920   9.784   3.666  10319   510  0.00  0.00  1.00  0.00  0.00  1.00
 65  18.966  19.306   2.681  0.127  0.017  0.001  10.730  1.975  0.456  0.157  4.212  0.087  0.291  0.286  3.006  0.000  0.977   63.274   8.344  11.547  10818   501  0.00  0.93  0.07  0.00  0.93  0.07
 70  16.459  18.095   4.072  0.166  0.019  0.001  13.371  2.248  0.473  0.187  5.735  0.100  0.267  0.328  3.359  0.000  0.986   65.867  11.117   9.986   9589   586  0.00  0.92  0.08  0.00  0.85  0.15
 75  14.785  16.749   6.272  0.208  0.021  0.002  16.015  2.315  0.447  0.199  6.826  0.113  0.304  0.385  3.807  0.000  1.137   69.584  10.595   9.716   8684   706  0.00  0.83  0.17  0.00  0.84  0.16
 80  14.752  15.873   9.286  0.216  0.023  0.000  18.171  2.473  0.514  0.232  8.524  0.125  0.324  0.367  4.173  0.000  1.161   76.216  13.135  17.221   7745   830  0.45  0.54  0.01  0.45  0.54  0.01
 85  14.274  13.656  13.810  0.182  0.025  0.000  20.824  2.403  0.480  0.254  8.766  0.135  0.313  0.302  4.202  0.000  1.299   80.927  13.128  16.683   6711   935  0.06  0.93  0.01  0.06  0.93  0.01
 90  14.377  12.116  20.289  0.211  0.026  0.000  22.309  2.545  0.432  0.341  9.434  0.097  0.369  0.298  4.558  0.000  1.271   88.673  12.977  16.402   6459  1095  0.07  0.93  0.01  0.07  0.92  0.01
 95  13.468  10.778  28.636  0.281  0.028  0.000  23.223  2.370  0.444  0.342  9.678  0.052  0.410  0.249  4.480  0.000  1.364   95.802  15.236  16.380   6460  1186  0.05  0.94  0.01  0.06  0.93  0.01
100  11.632   9.658  38.879  0.250  0.030  0.000  24.627  2.337  0.483  0.379  9.807  0.000  0.461  0.271  4.791  0.000  1.158  104.762  15.271  16.450   6508  1288  0.05  0.94  0.01  0.06  0.93  0.01
105   9.781   8.445  50.811  0.289  0.031  0.000  25.245  2.253  0.521  0.406  9.162  0.000  0.480  0.221  4.620  0.000  1.108  113.374  15.144  16.507   6539  1372  0.05  0.94  0.01  0.06  0.93  0.01
110   8.040   7.516  64.552  0.272  0.033  0.000  25.840  2.257  0.465  0.489  9.317  0.000  0.507  0.245  4.366  0.000  1.120  125.019  15.161  16.779   6562  1449  0.05  0.94  0.01  0.06  0.93  0.01
