*Y NA BFIR ? ? ? ? 
_Age  BFvol  BSvol  EHvol  ECvol  JPvol  RMvol  ROvol  RPvol  RSvol  SMvol  TAvol  WAvol  WBvol  WPvol  YBvol  VOLtot  HGT90  DBH90  DTYtot  DTY9  ClogR  CplpR  CbioR  HlogR  HplpR  HbioR
 10   0.000   0.000   0.000  0.000  0.000   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000    0.000   2.000   7.500   9459     0  0.00  0.31  0.69  0.00  0.31  0.69
 15   3.133   0.000   0.000  0.000  0.000   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.133   4.000   7.500   6712     0  0.00  0.68  0.32  0.00  0.68  0.32
 20  26.599   0.002   0.000  0.000  0.000   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000   26.601   6.000  12.500   4729  1611  0.00  0.94  0.06  0.00  0.94  0.06
 25  38.475   6.682   0.000  0.000  0.001   0.198  0.000  0.000  0.000  0.000  0.003  0.000  0.009  0.000  0.000   45.367   8.000  12.500   3412  2176  0.00  0.93  0.07  0.00  0.93  0.07
 30  46.481  15.434   0.000  0.000  0.013   1.087  0.133  0.016  0.000  0.238  0.009  0.029  0.076  0.052  0.041   63.610   8.045  17.500   2400  2321  0.09  0.90  0.01  0.09  0.89  0.01
 35  43.164  17.783   0.019  0.000  0.022   2.082  0.395  0.030  0.000  0.778  0.013  0.070  0.104  0.181  0.089   64.730  10.056  17.568   1872  1689  0.08  0.92  0.00  0.08  0.91  0.01
 40  38.785  19.555   0.125  0.000  0.030   3.048  0.720  0.040  0.006  1.361  0.023  0.109  0.114  0.364  0.176   64.454  10.376  18.054   1963  1247  0.08  0.92  0.00  0.08  0.91  0.01
 45  30.351  17.877   0.284  0.003  0.034   3.734  0.932  0.063  0.009  1.566  0.032  0.138  0.116  0.618  0.235   55.993  12.322  18.648   2239   956  0.07  0.92  0.01  0.07  0.92  0.01
 50  24.343  16.089   0.488  0.013  0.042   4.092  1.199  0.081  0.017  1.707  0.040  0.157  0.098  0.906  0.257   49.528  12.333  19.134   3695   757  0.51  0.48  0.00  0.51  0.48  0.01
 55  18.360  13.734   0.690  0.033  0.043   4.119  1.109  0.087  0.017  1.435  0.046  0.139  0.078  1.249  0.313   41.451  11.514  17.932   5883   618  0.07  0.92  0.01  0.07  0.92  0.01
 60  14.631  12.276   1.101  0.053  0.049   4.864  1.242  0.092  0.017  1.454  0.053  0.145  0.070  1.697  0.383   38.127   8.861  12.191   9703   531  0.00  0.93  0.07  0.00  0.93  0.07
 65  11.276  10.394   1.819  0.088  0.031   8.680  1.344  0.109  0.019  1.397  0.039  0.186  0.079  2.020  0.362   37.845   7.647   9.433  13202   571  0.00  0.81  0.19  0.00  0.82  0.18
 70   8.716   8.782   3.722  0.099  0.035  17.546  1.258  0.125  0.015  1.290  0.043  0.301  0.093  2.633  0.615   45.271   9.311   8.827  15472   881  0.00  0.70  0.30  0.00  0.71  0.29
 75   6.354   7.203   8.220  0.125  0.037  37.812  1.384  0.154  0.014  1.271  0.046  0.451  0.079  3.719  1.039   67.908  10.983  13.983  15009  1620  0.00  0.98  0.02  0.00  0.98  0.02
 80   4.524   5.907  12.371  0.157  0.039  49.768  1.543  0.188  0.015  1.277  0.047  0.675  0.091  4.892  1.320   82.813  11.242  13.707  14257  2116  0.00  0.97  0.03  0.00  0.97  0.03
 85   3.220   4.668  15.645  0.162  0.028  51.140  1.355  0.153  0.015  0.993  0.047  0.808  0.044  5.572  1.233   85.083  12.817  13.677  12579  2142  0.00  0.97  0.03  0.00  0.97  0.03
 90   2.369   3.746  20.098  0.149  0.028  54.889  1.147  0.160  0.014  0.814  0.048  0.884  0.040  6.490  1.347   92.221  13.218  13.829  10739  2226  0.00  0.97  0.03  0.00  0.97  0.03
 95   1.582   2.913  24.644  0.158  0.029  56.300  1.040  0.118  0.011  0.662  0.048  0.928  0.018  7.489  1.369   97.308  13.425  14.059   9127  2231  0.00  0.97  0.03  0.00  0.97  0.03
100   1.058   2.310  29.850  0.189  0.029  57.365  0.909  0.122  0.010  0.540  0.048  0.858  0.012  8.503  1.326  103.130  15.258  14.441   7747  2158  0.00  0.99  0.01  0.00  0.96  0.04
105   0.698   1.817  34.794  0.212  0.030  56.815  0.778  0.124  0.008  0.400  0.049  0.917  0.012  9.122  1.379  107.154  15.560  18.774   6649  2086  0.40  0.59  0.00  0.41  0.59  0.01
110   0.428   1.394  39.128  0.199  0.030  56.614  0.661  0.128  0.006  0.322  0.049  0.848  0.011  9.727  1.385  110.930  16.282  19.017   5888  1995  0.40  0.59  0.00  0.41  0.59  0.01
